Khmer,Math,Biology,History,Chemistry,Physics,English,Interest,Major
B,B,B,C,B,A,A,I want to study Pharmacy,Pharmacy
B,B,B,B,B,A,B,Interested in Pharmacy and pharmacology,Pharmacy
B,C,A,F,B,A,A,I enjoy pharmaceutical manufacturing and Communication,Pharmacy
C,A,C,C,B,A,B,Study Pharmacy,Pharmacy
C,A,A,D,A,A,D,I enjoy pharmacy practice and Mathematics,Pharmacy
D,D,B,C,B,A,F,I want to apply my Communication skills in the field of Pharmacy,Pharmacy
C,A,A,B,A,A,A,I want to study Pharmacy,Pharmacy
B,A,A,B,C,A,C,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
C,C,A,C,B,A,F,Focusing on Communication and Regulations,Pharmacy
D,A,C,F,E,D,E,I enjoy pharmaceutical and Chemistry,Pharmacy
C,C,D,D,B,A,D,I enjoy chemistry and Chemistry,Pharmacy
B,B,B,B,A,A,A,I want to study Pharmacy,Pharmacy
A,B,B,B,C,A,B,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
D,B,A,C,B,A,A,I want to work with biology,Pharmacy
D,A,C,B,A,A,A,Pharmacy,Pharmacy
B,C,C,B,B,A,F,Interested in Pharmacy and medical drugs,Pharmacy
A,B,B,C,B,B,F,"Good at Mathematics, want to be a Pharmaceutical Marketing Manager",Pharmacy
B,D,C,B,C,A,A,Pharmacist career path,Pharmacy
D,F,C,C,C,B,C,I want to study Pharmacy,Pharmacy
D,A,A,C,B,A,B,"medical drugs, pharmacy practice",Pharmacy
A,F,C,D,B,A,A,Pharmaceutical Analyst career path,Pharmacy
C,C,C,D,C,A,B,I want to study Pharmacy,Pharmacy
B,A,A,B,A,A,D,Study Pharmacy,Pharmacy
C,B,B,B,E,B,C,Pharmaceutical Quality Assurance Manager career path,Pharmacy
D,A,D,A,B,A,B,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,A,B,B,B,A,D,I want to apply my Communication skills in the field of Pharmacy,Pharmacy
A,C,C,B,F,B,F,Focusing on Mathematics and Attention to Detail,Pharmacy
B,D,B,E,C,C,B,How can I study Pharmacy?,Pharmacy
B,A,D,B,B,A,A,Researching Pharmacy opportunities,Pharmacy
C,D,C,B,B,C,E,"Good at Chemistry, want to be a Pharmaceutical Quality Assurance Manager",Pharmacy
C,B,C,B,A,B,D,I love pharmacist,Pharmacy
A,A,C,B,B,B,C,How can I study Pharmacy?,Pharmacy
C,C,B,B,A,A,A,I want to study Pharmacy,Pharmacy
D,B,B,B,A,B,C,Helping with Communication in Pharmacy,Pharmacy
A,C,B,C,C,A,D,Is Pharmacy a good major?,Pharmacy
C,B,A,A,B,A,D,I love bio,Pharmacy
C,A,A,B,B,A,A,I am looking for a career in Pharmacist,Pharmacy
B,C,A,C,D,B,B,"pharmaceutical, pharmacy",Pharmacy
B,B,B,B,D,A,C,Pharmacy,Pharmacy
F,C,C,D,E,C,D,I want to apply my Communication skills in the field of Pharmacy,Pharmacy
B,A,C,A,A,A,B,Helping with Attention to Detail in Pharmacy,Pharmacy
A,A,C,C,B,A,D,Focusing on Chemistry and Attention to Detail,Pharmacy
B,A,C,A,A,A,B,Pharmacy seems like a good fit for me,Pharmacy
C,D,B,B,C,B,C,"Good at Communication, want to be a Pharmaceutical Sales Representative",Pharmacy
C,E,C,D,B,A,B,Interested in Pharmacy and pharmacology,Pharmacy
C,A,A,B,C,A,E,I love clinical pharmacy,Pharmacy
C,B,D,B,C,A,B,I want to work with prescription,Pharmacy
A,B,A,C,A,A,D,I'm passionate about prescription,Pharmacy
A,A,A,B,A,A,D,Study Pharmacy,Pharmacy
D,D,C,C,C,D,A,Researching Pharmacy opportunities,Pharmacy
B,B,A,B,B,A,B,Helping with Mathematics in Pharmacy,Pharmacy
C,C,B,D,B,A,C,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,B,B,B,A,A,B,Pharmacy,Pharmacy
C,C,A,B,C,C,C,Pharmaceutical Analyst career path,Pharmacy
C,C,F,A,B,A,B,"bio, pharmacy practice",Pharmacy
C,E,C,B,C,A,C,I want to work with math,Pharmacy
D,E,C,C,C,A,F,"pharmacy, prescription",Pharmacy
C,C,C,C,E,B,F,I want to study Pharmacy,Pharmacy
D,F,C,C,C,B,C,Pharmacy seems like a good fit for me,Pharmacy
A,F,C,D,B,A,A,Interested in Pharmacy and dispensing,Pharmacy
B,C,E,C,B,A,D,I am interested in Pharmacy,Pharmacy
A,F,C,D,B,A,A,Helping with Attention to Detail in Pharmacy,Pharmacy
A,B,A,A,B,B,C,"pharmaceutical chemistry, biology",Pharmacy
B,B,A,B,A,A,C,Pharmaceutical Regulatory Affairs Specialist career path,Pharmacy
A,A,A,A,A,A,C,I am looking for a career in Pharmaceutical Quality Assurance Manager,Pharmacy
A,A,B,C,B,A,D,Researching Pharmacy opportunities,Pharmacy
C,B,A,A,B,A,A,Interested in Pharmacy and pharmaceutical technology,Pharmacy
B,C,C,C,C,A,F,Pharmaceutical Consultant career path,Pharmacy
B,B,B,A,B,A,D,I'm passionate about clinical pharmacy,Pharmacy
B,A,B,A,A,A,B,I am interested in Pharmacy,Pharmacy
B,B,B,B,A,A,F,Pharmaceutical Sales Representative career path,Pharmacy
B,A,B,B,A,A,E,I want to improve my skills in Communication,Pharmacy
D,D,A,B,A,B,C,I am looking for a career in Pharmaceutical Marketing Manager,Pharmacy
B,A,D,B,A,A,E,pharmaceutical pharmaceutical manufacturing pharmaceutical chemistry,Pharmacy
B,C,C,C,C,A,F,Focusing on Regulations and Mathematics,Pharmacy
D,D,A,B,A,B,C,I want to study Pharmacy,Pharmacy
E,D,B,B,B,A,C,I want to work with pharmaceutical technology,Pharmacy
B,B,C,B,D,B,A,I love drugs,Pharmacy
A,A,B,C,C,A,A,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
D,B,B,A,B,A,A,Pharmacy seems like a good fit for me,Pharmacy
C,A,B,B,C,A,C,I love chemistry,Pharmacy
C,A,B,C,D,B,B,I enjoy drugs and Mathematics,Pharmacy
B,C,C,B,B,A,F,Pharmaceutical Regulatory Affairs Specialist career path,Pharmacy
C,B,C,B,B,A,D,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
D,C,F,D,C,C,B,Researching Pharmacy opportunities,Pharmacy
E,C,D,D,B,A,E,I am interested in Pharmacy,Pharmacy
B,A,B,B,B,C,E,I'm passionate about bio,Pharmacy
B,B,B,A,D,A,D,I want to improve my skills in Regulations,Pharmacy
C,B,B,D,A,A,B,medical drugs pharmacy practice pharmaceutical,Pharmacy
A,A,C,C,C,A,C,I am looking for a career in Clinical Pharmacist,Pharmacy
B,C,D,C,C,A,B,I want to apply my Chemistry skills in the field of Pharmacy,Pharmacy
C,D,C,D,A,B,D,pharmacy practice pharmaceutical chemistry medical drugs,Pharmacy
B,C,C,C,C,A,C,I want to study Pharmacy,Pharmacy
B,C,D,D,C,A,D,How can I study Pharmacy?,Pharmacy
B,A,C,B,B,A,C,I want to improve my skills in Biology,Pharmacy
D,A,A,B,A,A,B,I'm passionate about pharmacy practice,Pharmacy
D,B,A,E,D,B,B,Is Pharmacy a good major?,Pharmacy
C,B,A,B,A,A,D,Study Pharmacy,Pharmacy
D,A,B,B,B,A,C,I'm passionate about pharmacy practice,Pharmacy
E,C,F,B,B,A,C,Researching Pharmacy opportunities,Pharmacy
C,A,A,D,A,A,D,My goal is to become a Pharmaceutical Analyst,Pharmacy
B,C,C,D,A,A,D,Is Pharmacy a good major?,Pharmacy
B,A,C,C,C,A,D,I love math,Pharmacy
C,B,B,D,A,A,B,I want to study Pharmacy,Pharmacy
B,C,D,B,C,B,A,dosage pharmacology chemists,Pharmacy
D,F,C,C,C,B,C,Helping with Biology in Pharmacy,Pharmacy
B,C,C,C,A,A,D,I want to improve my skills in Attention to Detail,Pharmacy
C,B,D,B,C,A,F,Pharmacy seems like a good fit for me,Pharmacy
E,C,E,E,B,B,C,Helping with Biology in Pharmacy,Pharmacy
D,D,B,C,A,B,B,pharmacology clinical pharmacy chemists,Pharmacy
B,C,B,A,C,C,E,Pharmaceutical Regulatory Affairs Specialist career path,Pharmacy
E,C,D,D,B,A,E,Pharmacy seems like a good fit for me,Pharmacy
B,C,A,C,A,A,B,I want to study Pharmacy,Pharmacy
B,C,B,C,A,A,F,I love pharmaceutical,Pharmacy
C,A,A,D,A,A,D,Pharmacy,Pharmacy
D,A,C,D,C,A,B,I'm passionate about pharmacist,Pharmacy
B,C,D,B,C,B,C,Researching Pharmacy opportunities,Pharmacy
C,A,C,F,E,B,D,I want to apply my Chemistry skills in the field of Pharmacy,Pharmacy
B,B,C,C,D,A,B,"pharmaceutical chemistry, pharmacy",Pharmacy
D,A,A,B,B,A,A,pharmacist pharmaceutical manufacturing pharmacy practice,Pharmacy
D,B,B,A,B,A,A,Pharmaceutical Quality Assurance Manager career path,Pharmacy
D,B,C,C,D,A,F,bio pharmaceutical manufacturing chemists,Pharmacy
B,B,E,E,C,A,B,How can I study Pharmacy?,Pharmacy
A,D,A,C,B,A,B,Helping with Chemistry in Pharmacy,Pharmacy
C,D,C,E,B,A,A,I am interested in Pharmacy,Pharmacy
E,D,B,B,B,A,C,Pharmacy,Pharmacy
A,E,B,D,B,A,D,I enjoy clinical pharmacy and Communication,Pharmacy
C,D,A,B,C,A,A,I enjoy bio and Attention to Detail,Pharmacy
B,C,A,B,C,A,D,I am looking for a career in Pharmaceutical Researcher,Pharmacy
A,B,B,C,B,A,B,Pharmacy,Pharmacy
B,D,C,D,A,A,B,I want to improve my skills in Biology,Pharmacy
A,B,B,C,B,B,F,My goal is to become a Pharmaceutical Manufacturing Manager,Pharmacy
B,C,A,F,B,A,A,Helping with Mathematics in Pharmacy,Pharmacy
D,C,D,C,C,B,D,I am interested in Pharmacy,Pharmacy
C,B,A,C,B,A,A,"pharmacist, chemistry",Pharmacy
B,C,E,C,B,D,D,Study Pharmacy,Pharmacy
C,B,E,D,C,B,E,Study Pharmacy,Pharmacy
D,C,D,E,C,A,A,Helping with Mathematics in Pharmacy,Pharmacy
B,C,D,C,C,B,B,I want to study Pharmacy,Pharmacy
B,B,C,A,B,A,B,Researching Pharmacy opportunities,Pharmacy
B,B,A,C,C,A,B,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,A,D,A,A,A,B,Focusing on Biology and Regulations,Pharmacy
B,A,B,A,A,A,B,I want to improve my skills in Communication,Pharmacy
B,A,A,B,B,B,B,pharmacist medication clinical pharmacy,Pharmacy
B,C,A,F,B,A,A,I want to study Pharmacy,Pharmacy
A,D,C,C,A,A,B,Pharmacy,Pharmacy
B,C,B,C,B,A,A,I want to study Pharmacy,Pharmacy
B,A,A,C,B,A,B,dispensing pharmacology biology,Pharmacy
C,B,B,B,D,A,B,Pharmaceutical Consultant career path,Pharmacy
B,A,B,A,A,A,B,I want to improve my skills in Attention to Detail,Pharmacy
C,D,C,E,B,A,A,"bio, pharmaceutical technology",Pharmacy
C,A,A,B,A,A,B,I'm passionate about chemists,Pharmacy
D,B,B,B,A,B,C,bio biology pharmaceutical technology,Pharmacy
C,B,B,C,B,A,B,I want to improve my skills in Communication,Pharmacy
C,B,C,A,C,A,A,Pharmaceutical Manufacturing Manager career path,Pharmacy
A,A,C,D,C,B,B,I love pharmacist,Pharmacy
C,C,D,C,C,A,C,Researching Pharmacy opportunities,Pharmacy
C,A,D,D,C,A,B,I love bio,Pharmacy
B,A,B,C,B,A,B,Pharmacy seems like a good fit for me,Pharmacy
A,A,C,C,C,C,E,Is Pharmacy a good major?,Pharmacy
C,B,A,C,A,A,A,"math, chemistry",Pharmacy
D,A,C,D,C,A,B,I'm passionate about chemistry,Pharmacy
B,C,A,C,D,C,B,"Good at Mathematics, want to be a Pharmaceutical Sales Representative",Pharmacy
A,A,A,A,A,A,C,Study Pharmacy,Pharmacy
B,B,E,E,C,A,B,I am interested in Pharmacy,Pharmacy
B,B,B,C,A,A,C,Study Pharmacy,Pharmacy
A,A,A,B,A,A,A,I love chemistry,Pharmacy
C,B,B,C,B,A,B,"Good at Chemistry, want to be a Pharmaceutical Analyst",Pharmacy
B,A,A,B,A,A,B,I'm passionate about chemists,Pharmacy
B,D,B,B,C,A,B,Pharmacy seems like a good fit for me,Pharmacy
A,D,A,C,B,A,B,Is Pharmacy a good major?,Pharmacy
C,D,B,B,A,A,A,Pharmacy seems like a good fit for me,Pharmacy
D,B,E,D,B,C,F,I want to improve my skills in Regulations,Pharmacy
B,C,C,B,E,A,F,Study Pharmacy,Pharmacy
B,C,A,C,A,A,B,I'm passionate about chemists,Pharmacy
C,B,A,B,A,A,D,Study Pharmacy,Pharmacy
A,B,B,B,C,A,B,I want to apply my Biology skills in the field of Pharmacy,Pharmacy
B,B,A,C,C,A,B,I love chemistry,Pharmacy
B,A,B,B,B,A,B,How can I study Pharmacy?,Pharmacy
B,B,A,A,B,A,C,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
D,A,A,A,B,A,A,Focusing on Regulations and Chemistry,Pharmacy
D,D,C,E,C,A,C,My goal is to become a Pharmaceutical Consultant,Pharmacy
C,C,B,D,D,A,C,Helping with Chemistry in Pharmacy,Pharmacy
B,B,A,B,A,A,C,I am looking for a career in Pharmaceutical Sales Representative,Pharmacy
B,B,A,B,B,A,C,I want to work with biology,Pharmacy
B,A,A,C,A,B,C,Is Pharmacy a good major?,Pharmacy
C,C,C,D,C,A,D,I am looking for a career in Clinical Pharmacist,Pharmacy
E,B,A,C,C,A,C,I want to apply my Chemistry skills in the field of Pharmacy,Pharmacy
A,B,B,C,B,A,C,Pharmacy seems like a good fit for me,Pharmacy
A,B,C,A,B,A,B,How can I study Pharmacy?,Pharmacy
B,C,C,C,C,A,C,I want to work with medication,Pharmacy
B,B,B,B,C,A,C,I want to apply my Communication skills in the field of Pharmacy,Pharmacy
D,A,C,B,A,A,A,Focusing on Attention to Detail and Regulations,Pharmacy
C,B,A,D,C,A,D,Study Pharmacy,Pharmacy
B,C,A,C,B,A,A,Pharmacy,Pharmacy
B,C,A,D,C,A,A,I want to improve my skills in Regulations,Pharmacy
B,C,D,D,C,A,D,I'm passionate about drugs,Pharmacy
C,B,A,A,B,A,D,Focusing on Communication and Biology,Pharmacy
E,D,B,B,B,A,C,Focusing on Mathematics and Biology,Pharmacy
C,D,C,D,A,B,D,I enjoy chemists and Communication,Pharmacy
B,C,A,A,E,A,D,"pharmaceutical technology, prescription",Pharmacy
B,B,C,C,D,A,B,Study Pharmacy,Pharmacy
D,B,B,B,B,A,A,How can I study Pharmacy?,Pharmacy
B,B,B,C,A,A,C,Pharmacy seems like a good fit for me,Pharmacy
B,B,A,C,A,A,A,Helping with Regulations in Pharmacy,Pharmacy
B,B,A,C,B,A,E,Helping with Attention to Detail in Pharmacy,Pharmacy
B,B,D,D,B,B,E,I love pharmaceutical chemistry,Pharmacy
B,A,A,B,B,A,C,I want to improve my skills in Regulations,Pharmacy
D,E,B,D,C,B,E,I want to study Pharmacy,Pharmacy
B,C,B,D,B,A,C,Is Pharmacy a good major?,Pharmacy
C,B,B,B,C,A,A,I want to work with math,Pharmacy
D,B,A,C,B,A,A,"Good at Regulations, want to be a Pharmaceutical Manufacturing Manager",Pharmacy
C,C,A,B,E,A,C,I want to work with dosage,Pharmacy
A,F,C,D,B,A,A,Pharmaceutical Consultant career path,Pharmacy
B,D,C,D,A,A,B,I want to study Pharmacy,Pharmacy
D,B,B,B,B,A,A,Helping with Biology in Pharmacy,Pharmacy
C,B,A,B,B,A,A,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,C,A,F,B,A,A,I want to study Pharmacy,Pharmacy
D,A,A,B,A,A,B,"Good at Chemistry, want to be a Pharmaceutical Researcher",Pharmacy
C,C,B,B,B,A,B,I enjoy prescription and Chemistry,Pharmacy
A,A,A,B,A,A,D,Helping with Biology in Pharmacy,Pharmacy
A,A,A,A,A,A,B,I am interested in Pharmacy,Pharmacy
B,A,B,C,B,A,C,I enjoy medication and Regulations,Pharmacy
C,A,C,B,C,A,B,How can I study Pharmacy?,Pharmacy
B,D,A,B,C,A,A,I love drugs,Pharmacy
E,C,C,D,F,A,D,How can I study Pharmacy?,Pharmacy
B,B,F,C,A,A,C,Pharmacy,Pharmacy
D,B,B,B,B,A,A,I want to study Pharmacy,Pharmacy
A,D,C,C,A,A,B,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,C,B,B,C,A,D,Interested in Pharmacy and bio,Pharmacy
B,C,C,E,D,A,E,Pharmaceutical Manufacturing Manager career path,Pharmacy
D,D,C,E,C,A,C,My goal is to become a Pharmaceutical Marketing Manager,Pharmacy
A,B,A,C,A,A,D,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,C,B,C,A,A,F,My goal is to become a Pharmaceutical Quality Assurance Manager,Pharmacy
C,B,A,C,B,A,B,I enjoy clinical pharmacy and Regulations,Pharmacy
C,B,B,D,A,A,B,Pharmaceutical Quality Assurance Manager career path,Pharmacy
C,A,B,B,B,B,C,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
B,C,B,C,A,A,F,I am interested in Pharmacy,Pharmacy
B,C,C,D,B,A,F,pharmacology pharmaceutical manufacturing pharmaceutical chemistry,Pharmacy
B,A,C,A,A,A,B,How can I study Pharmacy?,Pharmacy
B,A,A,C,A,B,C,"pharmaceutical chemistry, prescription",Pharmacy
A,C,A,C,C,A,C,Pharmaceutical Manufacturing Manager career path,Pharmacy
C,A,A,C,B,A,B,I am interested in Pharmacy,Pharmacy
B,D,A,C,B,A,C,I am looking for a career in Pharmaceutical Manufacturing Manager,Pharmacy
D,C,D,E,C,A,A,Study Pharmacy,Pharmacy
B,E,C,B,B,C,B,Study Pharmacy,Pharmacy
D,E,B,A,A,A,D,I am looking for a career in Pharmaceutical Manufacturing Manager,Pharmacy
C,B,A,C,C,B,C,pharmacology clinical pharmacy pharmaceutical,Pharmacy
C,B,B,B,D,B,B,I want to apply my Communication skills in the field of Pharmacy,Pharmacy
C,A,A,A,B,A,B,Interested in Pharmacy and chemistry,Pharmacy
B,B,A,C,A,A,A,My goal is to become a Pharmaceutical Consultant,Pharmacy
D,B,D,B,C,B,E,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
C,D,C,D,C,A,F,Clinical Pharmacist career path,Pharmacy
B,A,D,C,A,A,A,"drugs, math",Pharmacy
D,A,C,D,C,A,B,I want to study Pharmacy,Pharmacy
C,D,C,D,C,A,F,Focusing on Chemistry and Regulations,Pharmacy
C,D,B,E,C,C,D,I'm passionate about math,Pharmacy
B,B,D,A,B,A,C,My goal is to become a Pharmaceutical Researcher,Pharmacy
A,A,A,A,A,A,A,I want to study Pharmacy,Pharmacy
B,E,B,C,A,B,F,I am interested in Pharmacy,Pharmacy
C,A,A,B,A,A,A,I want to study Pharmacy,Pharmacy
B,B,A,A,B,A,C,"drugs, pharmaceutical manufacturing",Pharmacy
B,D,A,A,C,A,A,chemists pharmacy math,Pharmacy
B,B,A,C,A,A,E,I am looking for a career in Pharmaceutical Marketing Manager,Pharmacy
B,C,E,C,C,C,E,I am interested in Pharmacy,Pharmacy
A,B,C,B,C,A,B,I am looking for a career in Pharmaceutical Researcher,Pharmacy
B,A,B,B,C,A,D,"chemistry, clinical pharmacy",Pharmacy
B,A,A,A,A,A,C,Interested in Pharmacy and medication,Pharmacy
C,B,B,E,E,B,B,Pharmaceutical Sales Representative career path,Pharmacy
B,B,B,B,C,A,C,My goal is to become a Pharmaceutical Sales Representative,Pharmacy
A,A,A,A,B,A,B,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
A,A,A,A,A,A,A,I enjoy drugs and Mathematics,Pharmacy
C,A,A,C,B,A,B,Pharmacy seems like a good fit for me,Pharmacy
D,E,B,A,A,A,D,"Good at Chemistry, want to be a Pharmaceutical Consultant",Pharmacy
B,C,A,C,D,C,B,Interested in Pharmacy and pharmacist,Pharmacy
B,A,A,B,B,A,D,Interested in Pharmacy and pharmaceutical,Pharmacy
B,C,D,D,C,B,C,Pharmacy seems like a good fit for me,Pharmacy
C,A,A,B,A,A,B,Pharmacy,Pharmacy
C,C,B,B,C,A,C,Interested in Pharmacy and drugs,Pharmacy
C,B,A,A,B,A,C,I'm passionate about dosage,Pharmacy
B,A,D,C,A,A,A,Focusing on Mathematics and Communication,Pharmacy
C,A,F,D,C,A,C,Pharmacy,Pharmacy
C,B,C,B,C,A,E,I want to improve my skills in Communication,Pharmacy
A,B,B,C,B,A,C,Researching Pharmacy opportunities,Pharmacy
A,B,B,C,B,A,F,"biology, pharmaceutical technology",Pharmacy
B,A,B,B,B,C,E,I want to work with pharmaceutical,Pharmacy
B,B,A,B,A,A,C,My goal is to become a Pharmaceutical Marketing Manager,Pharmacy
C,B,A,C,C,B,C,I'm passionate about dispensing,Pharmacy
D,A,A,C,B,A,B,I love medical drugs,Pharmacy
C,C,D,C,C,A,C,Is Pharmacy a good major?,Pharmacy
B,B,C,B,B,A,C,Researching Pharmacy opportunities,Pharmacy
C,C,D,D,B,A,D,I love math,Pharmacy
A,A,A,A,A,A,C,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
E,B,A,C,C,A,C,Interested in Pharmacy and medication,Pharmacy
A,B,B,B,B,A,D,Is Pharmacy a good major?,Pharmacy
C,C,C,B,F,C,E,Is Pharmacy a good major?,Pharmacy
B,C,C,B,D,A,D,chemists pharmaceutical technology medication,Pharmacy
C,A,A,D,A,A,C,I want to apply my Mathematics skills in the field of Pharmacy,Pharmacy
B,B,A,C,B,A,B,pharmaceutical manufacturing pharmaceutical chemistry pharmacist,Pharmacy
B,A,D,B,B,A,A,Pharmacy,Pharmacy
B,C,C,A,F,B,B,My goal is to become a Pharmaceutical Manufacturing Manager,Pharmacy
C,C,B,A,F,C,F,I love dosage,Pharmacy
D,B,D,C,B,A,A,How can I study Pharmacy?,Pharmacy
B,C,B,B,E,A,D,Focusing on Regulations and Communication,Pharmacy
C,B,C,C,B,A,C,My goal is to become a Pharmaceutical Consultant,Pharmacy
B,A,A,B,A,A,A,"medical drugs, pharmacy practice",Pharmacy
B,F,C,B,C,C,D,My goal is to become a Pharmaceutical Consultant,Pharmacy
B,C,B,C,A,A,F,"Learning more about Study of medications, drug development, and pharmaceutical c...",Pharmacy
D,D,B,E,C,A,E,Study Pharmacy,Pharmacy
B,A,A,B,C,A,C,I want to work with dosage,Pharmacy
B,C,C,C,A,A,D,"dosage, drugs",Pharmacy
A,C,B,B,F,A,D,I want to study Pharmacy,Pharmacy
B,C,A,B,C,C,B,I want to apply my Chemistry skills in the field of Pharmacy,Pharmacy
C,A,B,B,B,B,C,I am interested in Pharmacy,Pharmacy
D,A,D,E,C,A,E,Interested in Pharmacy and pharmaceutical manufacturing,Pharmacy
C,E,C,B,B,A,C,I enjoy bio and Chemistry,Pharmacy
B,B,B,B,D,A,E,I want to work with pharmaceutical technology,Pharmacy
A,B,F,B,C,A,B,Helping with Chemistry in Pharmacy,Pharmacy
B,E,A,A,B,B,C,Helping with Mathematics in Pharmacy,Pharmacy
A,C,B,B,F,A,D,I want to study Pharmacy,Pharmacy
D,A,A,B,B,A,A,How can I study Pharmacy?,Pharmacy
A,D,A,C,B,A,B,Helping with Regulations in Pharmacy,Pharmacy
B,C,C,C,D,A,D,I love drugs,Pharmacy
C,A,B,B,B,B,C,Pharmacy seems like a good fit for me,Pharmacy
A,A,A,A,C,A,D,Focusing on Biology and Chemistry,Pharmacy
B,C,A,B,B,A,E,How can I study Pharmacy?,Pharmacy
A,A,A,B,B,A,C,My goal is to become a Pharmaceutical Marketing Manager,Pharmacy
C,D,C,B,C,C,F,"Good at Chemistry, want to be a Pharmaceutical Researcher",Pharmacy
C,A,B,B,C,A,C,pharmaceutical technology pharmacy practice pharmacy,Pharmacy
B,A,D,B,B,A,A,I enjoy biology and Attention to Detail,Pharmacy
D,A,B,B,B,A,C,I am interested in Pharmacy,Pharmacy
B,A,A,B,A,A,B,I want to study Pharmacy,Pharmacy
C,B,A,B,B,A,A,I'm passionate about dispensing,Pharmacy
B,A,D,B,A,A,C,Pharmacy seems like a good fit for me,Pharmacy
C,D,A,C,A,A,A,I'm passionate about bio,Pharmacy
D,B,B,B,B,A,A,Interested in Pharmacy and drugs,Pharmacy
B,B,A,B,B,A,E,My goal is to become a Pharmaceutical Regulatory Affairs Specialist,Pharmacy
C,F,B,E,C,B,F,"medication, pharmaceutical technology",Pharmacy
E,C,D,D,B,A,E,Focusing on Attention to Detail and Chemistry,Pharmacy
A,A,A,C,B,A,D,I want to study Pharmacy,Pharmacy
C,A,A,D,A,A,D,I love dosage,Pharmacy
B,C,B,B,D,A,E,Researching Pharmacy opportunities,Pharmacy
B,B,B,C,A,A,C,I want to improve my skills in Communication,Pharmacy
C,D,C,E,B,A,A,Researching Pharmacy opportunities,Pharmacy
